wgs_id	color	tetM
21242_3#128	#d7b5d8	0
21242_3#129	#d7b5d8	0
21242_3#12	#d7b5d8	0
21242_3#130	#d7b5d8	0
21242_3#131	#d7b5d8	0
21242_3#132	#d7b5d8	0
21242_3#133	#d7b5d8	0
21242_3#134	#d7b5d8	0
21242_3#135	#d7b5d8	0
21242_3#136	#d7b5d8	0
21242_3#137	#d7b5d8	0
21242_3#138	#d7b5d8	0
21242_3#139	#d7b5d8	0
21242_3#13	#d7b5d8	0
21242_3#140	#d7b5d8	0
21242_3#141	#ce1256	1
21242_3#142	#d7b5d8	0
21242_3#143	#d7b5d8	0
21242_3#144	#ce1256	1
21242_3#145	#d7b5d8	0
21242_3#146	#ce1256	1
21242_3#147	#d7b5d8	0
21242_3#148	#d7b5d8	0
21242_3#149	#d7b5d8	0
21242_3#14	#d7b5d8	0
21242_3#150	#d7b5d8	0
21242_3#151	#d7b5d8	0
21242_3#152	#d7b5d8	0
21242_3#153	#d7b5d8	0
21242_3#154	#d7b5d8	0
21242_3#155	#d7b5d8	0
21242_3#156	#d7b5d8	0
21242_3#157	#d7b5d8	0
21242_3#158	#ce1256	1
21242_3#159	#d7b5d8	0
21242_3#15	#d7b5d8	0
21242_3#160	#d7b5d8	0
21242_3#161	#d7b5d8	0
21242_3#162	#d7b5d8	0
21242_3#163	#d7b5d8	0
21242_3#164	#d7b5d8	0
21242_3#165	#d7b5d8	0
21242_3#166	#d7b5d8	0
21242_3#167	#ce1256	1
21242_3#168	#d7b5d8	0
21242_3#169	#d7b5d8	0
21242_3#16	#d7b5d8	0
21242_3#171	#d7b5d8	0
21242_3#172	#d7b5d8	0
21242_3#173	#d7b5d8	0
21242_3#174	#d7b5d8	0
21242_3#175	#d7b5d8	0
21242_3#176	#d7b5d8	0
21242_3#177	#d7b5d8	0
21242_3#178	#d7b5d8	0
21242_3#179	#ce1256	1
21242_3#17	#ce1256	1
21242_3#180	#d7b5d8	0
21242_3#181	#d7b5d8	0
21242_3#182	#d7b5d8	0
21242_3#183	#d7b5d8	0
21242_3#184	#d7b5d8	0
21242_3#185	#d7b5d8	0
21242_3#186	#d7b5d8	0
21242_3#187	#d7b5d8	0
21242_3#188	#d7b5d8	0
21242_3#189	#d7b5d8	0
21242_3#18	#d7b5d8	0
21242_3#19	#d7b5d8	0
21242_3#1	#d7b5d8	0
21242_3#21	#d7b5d8	0
21242_3#22	#d7b5d8	0
21242_3#23	#d7b5d8	0
21242_3#24	#d7b5d8	0
21242_3#25	#ce1256	1
21242_3#26	#d7b5d8	0
21242_3#27	#d7b5d8	0
21242_3#28	#d7b5d8	0
21242_3#29	#d7b5d8	0
21242_3#2	#d7b5d8	0
21242_3#30	#d7b5d8	0
21242_3#31	#d7b5d8	0
21242_3#32	#d7b5d8	0
21242_3#33	#d7b5d8	0
21242_3#34	#d7b5d8	0
21242_3#35	#d7b5d8	0
21242_3#36	#d7b5d8	0
21242_3#37	#d7b5d8	0
21242_3#38	#d7b5d8	0
21242_3#39	#d7b5d8	0
21242_3#3	#d7b5d8	0
21242_3#40	#d7b5d8	0
21242_3#41	#ce1256	1
21242_3#42	#ce1256	1
21242_3#43	#d7b5d8	0
21242_3#44	#d7b5d8	0
21242_3#45	#ce1256	1
21242_3#46	#ce1256	1
21242_3#47	#d7b5d8	0
21242_3#48	#ce1256	1
21242_3#49	#d7b5d8	0
21242_3#4	#d7b5d8	0
21242_3#50	#d7b5d8	0
21242_3#51	#d7b5d8	0
21242_3#52	#d7b5d8	0
21242_3#53	#d7b5d8	0
21242_3#54	#d7b5d8	0
21242_3#55	#d7b5d8	0
21242_3#56	#d7b5d8	0
21242_3#57	#d7b5d8	0
21242_3#58	#d7b5d8	0
21242_3#59	#d7b5d8	0
21242_3#60	#d7b5d8	0
21242_3#61	#d7b5d8	0
21242_3#62	#d7b5d8	0
21242_3#63	#d7b5d8	0
21242_3#64	#ce1256	1
21242_3#65	#d7b5d8	0
21242_3#66	#d7b5d8	0
21242_3#67	#ce1256	1
21242_3#68	#d7b5d8	0
21242_3#69	#d7b5d8	0
21242_3#6	#d7b5d8	0
21242_3#70	#d7b5d8	0
21242_3#71	#d7b5d8	0
21242_3#72	#d7b5d8	0
21242_3#73	#ce1256	1
21242_3#74	#d7b5d8	0
21242_3#75	#ce1256	1
21242_3#76	#d7b5d8	0
21242_3#77	#d7b5d8	0
21242_3#78	#d7b5d8	0
21242_3#79	#d7b5d8	0
21242_3#7	#d7b5d8	0
21242_3#80	#d7b5d8	0
21242_3#81	#d7b5d8	0
21242_3#82	#d7b5d8	0
21242_3#83	#d7b5d8	0
21242_3#84	#d7b5d8	0
21242_3#85	#d7b5d8	0
21242_3#86	#d7b5d8	0
21242_3#87	#d7b5d8	0
21242_3#88	#d7b5d8	0
21242_3#89	#d7b5d8	0
21242_3#8	#d7b5d8	0
21242_3#90	#d7b5d8	0
21242_3#91	#ce1256	1
21242_3#92	#d7b5d8	0
21242_3#93	#d7b5d8	0
21242_3#94	#d7b5d8	0
21242_3#95	#d7b5d8	0
21242_3#96	#d7b5d8	0
21242_3#97	#d7b5d8	0
21242_3#98	#d7b5d8	0
21242_3#99	#d7b5d8	0
21242_3#9	#d7b5d8	0
21242_4#100	#ce1256	1
21242_4#101	#d7b5d8	0
21242_4#102	#ce1256	1
21242_4#103	#d7b5d8	0
21242_4#104	#d7b5d8	0
21242_4#105	#d7b5d8	0
21242_4#106	#d7b5d8	0
21242_4#107	#d7b5d8	0
21242_4#108	#d7b5d8	0
21242_4#109	#d7b5d8	0
21242_4#10	#d7b5d8	0
21242_4#110	#d7b5d8	0
21242_4#111	#d7b5d8	0
21242_4#112	#d7b5d8	0
21242_4#113	#d7b5d8	0
21242_4#114	#ce1256	1
21242_4#115	#d7b5d8	0
21242_4#116	#d7b5d8	0
21242_4#117	#d7b5d8	0
21242_4#118	#d7b5d8	0
21242_4#119	#d7b5d8	0
21242_4#11	#d7b5d8	0
21242_4#120	#d7b5d8	0
21242_4#121	#d7b5d8	0
21242_4#122	#d7b5d8	0
21242_4#123	#d7b5d8	0
21242_4#124	#d7b5d8	0
21242_4#125	#d7b5d8	0
21242_4#126	#d7b5d8	0
21242_4#127	#d7b5d8	0
21242_4#128	#d7b5d8	0
21242_4#129	#ce1256	1
21242_4#12	#d7b5d8	0
21242_4#130	#d7b5d8	0
21242_4#131	#d7b5d8	0
21242_4#132	#d7b5d8	0
21242_4#133	#d7b5d8	0
21242_4#13	#d7b5d8	0
21242_4#14	#ce1256	1
21242_4#15	#d7b5d8	0
21242_4#16	#d7b5d8	0
21242_4#17	#d7b5d8	0
21242_4#18	#d7b5d8	0
21242_4#19	#d7b5d8	0
21242_4#1	#d7b5d8	0
21242_4#20	#d7b5d8	0
21242_4#21	#d7b5d8	0
21242_4#22	#d7b5d8	0
21242_4#23	#ce1256	1
21242_4#24	#d7b5d8	0
21242_4#25	#d7b5d8	0
21242_4#26	#d7b5d8	0
21242_4#27	#d7b5d8	0
21242_4#28	#d7b5d8	0
21242_4#29	#d7b5d8	0
21242_4#2	#ce1256	1
21242_4#30	#d7b5d8	0
21242_4#31	#d7b5d8	0
21242_4#32	#d7b5d8	0
21242_4#33	#d7b5d8	0
21242_4#34	#d7b5d8	0
21242_4#35	#ce1256	1
21242_4#36	#d7b5d8	0
21242_4#37	#d7b5d8	0
21242_4#38	#d7b5d8	0
21242_4#39	#d7b5d8	0
21242_4#3	#d7b5d8	0
21242_4#40	#d7b5d8	0
21242_4#41	#d7b5d8	0
21242_4#42	#ce1256	1
21242_4#43	#d7b5d8	0
21242_4#44	#d7b5d8	0
21242_4#45	#d7b5d8	0
21242_4#46	#d7b5d8	0
21242_4#47	#d7b5d8	0
21242_4#48	#d7b5d8	0
21242_4#49	#d7b5d8	0
21242_4#4	#d7b5d8	0
21242_4#50	#d7b5d8	0
21242_4#51	#d7b5d8	0
21242_4#52	#d7b5d8	0
21242_4#53	#ce1256	1
21242_4#54	#d7b5d8	0
21242_4#55	#d7b5d8	0
21242_4#56	#d7b5d8	0
21242_4#57	#d7b5d8	0
21242_4#58	#d7b5d8	0
21242_4#59	#d7b5d8	0
21242_4#5	#d7b5d8	0
21242_4#60	#d7b5d8	0
21242_4#61	#d7b5d8	0
21242_4#62	#d7b5d8	0
21242_4#63	#d7b5d8	0
21242_4#64	#ce1256	1
21242_4#65	#d7b5d8	0
21242_4#66	#d7b5d8	0
21242_4#67	#d7b5d8	0
21242_4#68	#ce1256	1
21242_4#69	#d7b5d8	0
21242_4#6	#d7b5d8	0
21242_4#70	#d7b5d8	0
21242_4#71	#d7b5d8	0
21242_4#72	#d7b5d8	0
21242_4#73	#d7b5d8	0
21242_4#74	#d7b5d8	0
21242_4#75	#d7b5d8	0
21242_4#76	#d7b5d8	0
21242_4#77	#d7b5d8	0
21242_4#78	#d7b5d8	0
21242_4#7	#d7b5d8	0
21242_4#80	#d7b5d8	0
21242_4#81	#d7b5d8	0
21242_4#82	#d7b5d8	0
21242_4#83	#ce1256	1
21242_4#84	#d7b5d8	0
21242_4#85	#d7b5d8	0
21242_4#86	#d7b5d8	0
21242_4#87	#ce1256	1
21242_4#88	#d7b5d8	0
21242_4#89	#ce1256	1
21242_4#8	#d7b5d8	0
21242_4#90	#d7b5d8	0
21242_4#91	#d7b5d8	0
21242_4#92	#d7b5d8	0
21242_4#93	#ce1256	1
21242_4#94	#d7b5d8	0
21242_4#95	#d7b5d8	0
21242_4#96	#d7b5d8	0
21242_4#97	#d7b5d8	0
21242_4#98	#d7b5d8	0
21242_4#99	#d7b5d8	0
21242_4#9	#d7b5d8	0
21485_4#10	#d7b5d8	0
21485_4#11	#d7b5d8	0
21485_4#12	#d7b5d8	0
21485_4#13	#d7b5d8	0
21485_4#14	#ce1256	1
21485_4#15	#d7b5d8	0
21485_4#16	#d7b5d8	0
21485_4#17	#d7b5d8	0
21485_4#18	#ce1256	1
21485_4#19	#d7b5d8	0
21485_4#20	#ce1256	1
21485_4#21	#d7b5d8	0
21485_4#22	#d7b5d8	0
21485_4#23	#ce1256	1
21485_4#24	#ce1256	1
21485_4#25	#d7b5d8	0
21485_4#26	#d7b5d8	0
21485_4#27	#d7b5d8	0
21485_4#28	#d7b5d8	0
21485_4#29	#d7b5d8	0
21485_4#30	#ce1256	1
21485_4#31	#ce1256	1
21485_4#32	#d7b5d8	0
21485_4#33	#ce1256	1
21485_4#34	#d7b5d8	0
21485_4#35	#d7b5d8	0
21485_4#36	#d7b5d8	0
21485_4#37	#d7b5d8	0
21485_4#38	#d7b5d8	0
21485_4#39	#d7b5d8	0
21485_4#40	#d7b5d8	0
21485_4#41	#d7b5d8	0
21485_4#8	#d7b5d8	0
21485_4#9	#d7b5d8	0
24M	#d7b5d8	0
25818_2#10	#d7b5d8	0
25818_2#11	#d7b5d8	0
25818_2#13	#d7b5d8	0
25818_2#14	#d7b5d8	0
25818_2#15	#d7b5d8	0
25818_2#163	#d7b5d8	0
25818_2#164	#ce1256	1
25818_2#165	#d7b5d8	0
25818_2#166	#d7b5d8	0
25818_2#167	#d7b5d8	0
25818_2#168	#d7b5d8	0
25818_2#169	#d7b5d8	0
25818_2#16	#d7b5d8	0
25818_2#170	#d7b5d8	0
25818_2#171	#d7b5d8	0
25818_2#172	#d7b5d8	0
25818_2#173	#d7b5d8	0
25818_2#174	#d7b5d8	0
25818_2#175	#d7b5d8	0
25818_2#176	#ce1256	1
25818_2#177	#ce1256	1
25818_2#178	#d7b5d8	0
25818_2#179	#ce1256	1
25818_2#17	#d7b5d8	0
25818_2#180	#d7b5d8	0
25818_2#181	#d7b5d8	0
25818_2#182	#d7b5d8	0
25818_2#183	#d7b5d8	0
25818_2#184	#d7b5d8	0
25818_2#185	#d7b5d8	0
25818_2#186	#d7b5d8	0
25818_2#187	#ce1256	1
25818_2#188	#d7b5d8	0
25818_2#189	#d7b5d8	0
25818_2#18	#d7b5d8	0
25818_2#191	#d7b5d8	0
25818_2#192	#ce1256	1
25818_2#193	#d7b5d8	0
25818_2#194	#d7b5d8	0
25818_2#195	#d7b5d8	0
25818_2#196	#d7b5d8	0
25818_2#197	#d7b5d8	0
25818_2#198	#d7b5d8	0
25818_2#199	#d7b5d8	0
25818_2#19	#ce1256	1
25818_2#1	#d7b5d8	0
25818_2#200	#d7b5d8	0
25818_2#201	#d7b5d8	0
25818_2#202	#d7b5d8	0
25818_2#203	#d7b5d8	0
25818_2#204	#d7b5d8	0
25818_2#205	#d7b5d8	0
25818_2#206	#d7b5d8	0
25818_2#207	#d7b5d8	0
25818_2#208	#d7b5d8	0
25818_2#209	#d7b5d8	0
25818_2#20	#d7b5d8	0
25818_2#210	#d7b5d8	0
25818_2#211	#d7b5d8	0
25818_2#212	#d7b5d8	0
25818_2#213	#d7b5d8	0
25818_2#214	#d7b5d8	0
25818_2#215	#d7b5d8	0
25818_2#216	#d7b5d8	0
25818_2#217	#d7b5d8	0
25818_2#218	#d7b5d8	0
25818_2#219	#d7b5d8	0
25818_2#21	#d7b5d8	0
25818_2#220	#d7b5d8	0
25818_2#221	#ce1256	1
25818_2#222	#d7b5d8	0
25818_2#223	#d7b5d8	0
25818_2#224	#d7b5d8	0
25818_2#225	#d7b5d8	0
25818_2#226	#d7b5d8	0
25818_2#227	#d7b5d8	0
25818_2#228	#d7b5d8	0
25818_2#229	#d7b5d8	0
25818_2#22	#d7b5d8	0
25818_2#230	#d7b5d8	0
25818_2#231	#d7b5d8	0
25818_2#232	#d7b5d8	0
25818_2#233	#d7b5d8	0
25818_2#234	#d7b5d8	0
25818_2#235	#d7b5d8	0
25818_2#236	#d7b5d8	0
25818_2#237	#d7b5d8	0
25818_2#238	#d7b5d8	0
25818_2#239	#ce1256	1
25818_2#23	#d7b5d8	0
25818_2#240	#d7b5d8	0
25818_2#241	#d7b5d8	0
25818_2#242	#ce1256	1
25818_2#243	#d7b5d8	0
25818_2#244	#d7b5d8	0
25818_2#245	#d7b5d8	0
25818_2#246	#d7b5d8	0
25818_2#247	#d7b5d8	0
25818_2#248	#d7b5d8	0
25818_2#249	#d7b5d8	0
25818_2#24	#d7b5d8	0
25818_2#250	#d7b5d8	0
25818_2#251	#d7b5d8	0
25818_2#252	#d7b5d8	0
25818_2#253	#d7b5d8	0
25818_2#254	#d7b5d8	0
25818_2#255	#ce1256	1
25818_2#257	#d7b5d8	0
25818_2#258	#d7b5d8	0
25818_2#259	#d7b5d8	0
25818_2#25	#d7b5d8	0
25818_2#260	#d7b5d8	0
25818_2#261	#d7b5d8	0
25818_2#262	#d7b5d8	0
25818_2#263	#ce1256	1
25818_2#264	#d7b5d8	0
25818_2#265	#d7b5d8	0
25818_2#266	#d7b5d8	0
25818_2#267	#ce1256	1
25818_2#268	#d7b5d8	0
25818_2#269	#d7b5d8	0
25818_2#270	#d7b5d8	0
25818_2#271	#d7b5d8	0
25818_2#272	#d7b5d8	0
25818_2#273	#d7b5d8	0
25818_2#274	#ce1256	1
25818_2#275	#d7b5d8	0
25818_2#276	#d7b5d8	0
25818_2#277	#d7b5d8	0
25818_2#278	#d7b5d8	0
25818_2#279	#d7b5d8	0
25818_2#27	#ce1256	1
25818_2#280	#d7b5d8	0
25818_2#281	#d7b5d8	0
25818_2#282	#d7b5d8	0
25818_2#283	#d7b5d8	0
25818_2#284	#d7b5d8	0
25818_2#285	#d7b5d8	0
25818_2#286	#ce1256	1
25818_2#287	#d7b5d8	0
25818_2#288	#d7b5d8	0
25818_2#289	#d7b5d8	0
25818_2#28	#d7b5d8	0
25818_2#290	#ce1256	1
25818_2#291	#d7b5d8	0
25818_2#292	#d7b5d8	0
25818_2#293	#d7b5d8	0
25818_2#294	#d7b5d8	0
25818_2#295	#d7b5d8	0
25818_2#296	#d7b5d8	0
25818_2#297	#ce1256	1
25818_2#298	#ce1256	1
25818_2#299	#d7b5d8	0
25818_2#29	#d7b5d8	0
25818_2#2	#ce1256	1
25818_2#300	#d7b5d8	0
25818_2#301	#d7b5d8	0
25818_2#302	#d7b5d8	0
25818_2#303	#d7b5d8	0
25818_2#304	#ce1256	1
25818_2#305	#ce1256	1
25818_2#306	#d7b5d8	0
25818_2#307	#d7b5d8	0
25818_2#308	#d7b5d8	0
25818_2#309	#d7b5d8	0
25818_2#30	#d7b5d8	0
25818_2#310	#d7b5d8	0
25818_2#311	#ce1256	1
25818_2#312	#d7b5d8	0
25818_2#313	#d7b5d8	0
25818_2#314	#d7b5d8	0
25818_2#315	#d7b5d8	0
25818_2#316	#d7b5d8	0
25818_2#317	#d7b5d8	0
25818_2#318	#d7b5d8	0
25818_2#319	#d7b5d8	0
25818_2#31	#d7b5d8	0
25818_2#320	#d7b5d8	0
25818_2#321	#d7b5d8	0
25818_2#322	#d7b5d8	0
25818_2#323	#d7b5d8	0
25818_2#33	#d7b5d8	0
25818_2#34	#d7b5d8	0
25818_2#35	#ce1256	1
25818_2#36	#d7b5d8	0
25818_2#37	#d7b5d8	0
25818_2#38	#d7b5d8	0
25818_2#39	#d7b5d8	0
25818_2#3	#d7b5d8	0
25818_2#40	#d7b5d8	0
25818_2#41	#d7b5d8	0
25818_2#42	#d7b5d8	0
25818_2#43	#d7b5d8	0
25818_2#44	#d7b5d8	0
25818_2#45	#d7b5d8	0
25818_2#46	#d7b5d8	0
25818_2#47	#d7b5d8	0
25818_2#48	#ce1256	1
25818_2#4	#d7b5d8	0
25818_2#5	#d7b5d8	0
25818_2#6	#d7b5d8	0
25818_2#7	#d7b5d8	0
25818_2#8	#d7b5d8	0
25818_2#9	#d7b5d8	0
25818_3#221	#d7b5d8	0
25818_3#222	#d7b5d8	0
25818_3#223	#d7b5d8	0
25818_3#224	#d7b5d8	0
25818_3#225	#d7b5d8	0
25818_3#226	#d7b5d8	0
25818_3#227	#d7b5d8	0
25818_3#228	#d7b5d8	0
25818_3#229	#d7b5d8	0
25818_3#230	#d7b5d8	0
25818_3#231	#ce1256	1
25818_3#232	#d7b5d8	0
25818_3#233	#d7b5d8	0
25818_3#234	#ce1256	1
25818_3#235	#d7b5d8	0
25818_3#236	#d7b5d8	0
25818_3#237	#d7b5d8	0
25818_3#238	#d7b5d8	0
25818_3#239	#d7b5d8	0
25818_3#240	#d7b5d8	0
25818_3#241	#d7b5d8	0
25818_3#242	#d7b5d8	0
25818_3#243	#ce1256	1
25818_3#244	#d7b5d8	0
25818_3#245	#d7b5d8	0
25818_3#246	#d7b5d8	0
25818_3#247	#d7b5d8	0
25818_3#248	#d7b5d8	0
25818_3#249	#d7b5d8	0
25818_3#250	#d7b5d8	0
25818_3#251	#ce1256	1
25818_3#252	#d7b5d8	0
25818_3#253	#d7b5d8	0
25818_3#254	#d7b5d8	0
25818_3#255	#d7b5d8	0
25818_3#256	#d7b5d8	0
25818_3#257	#d7b5d8	0
25818_3#258	#ce1256	1
25818_3#259	#d7b5d8	0
25818_3#260	#d7b5d8	0
25818_3#261	#d7b5d8	0
25818_3#262	#ce1256	1
25818_3#263	#ce1256	1
25818_3#264	#ce1256	1
25818_3#265	#d7b5d8	0
25818_3#266	#d7b5d8	0
25818_3#267	#d7b5d8	0
25818_3#268	#ce1256	1
25818_3#269	#d7b5d8	0
25818_3#270	#d7b5d8	0
25818_3#271	#d7b5d8	0
25818_3#272	#d7b5d8	0
25818_3#273	#d7b5d8	0
25818_3#274	#d7b5d8	0
25818_3#275	#d7b5d8	0
25818_3#276	#d7b5d8	0
25818_3#277	#d7b5d8	0
25818_3#278	#d7b5d8	0
25818_3#279	#d7b5d8	0
25818_3#280	#d7b5d8	0
25818_3#281	#d7b5d8	0
25818_3#282	#d7b5d8	0
25818_3#283	#d7b5d8	0
25818_3#284	#d7b5d8	0
25818_3#285	#d7b5d8	0
25818_3#286	#d7b5d8	0
25818_3#287	#ce1256	1
25818_3#288	#d7b5d8	0
25818_3#289	#d7b5d8	0
25818_3#290	#d7b5d8	0
25818_3#291	#d7b5d8	0
25818_3#292	#ce1256	1
25818_3#293	#ce1256	1
25818_3#294	#ce1256	1
25818_3#295	#d7b5d8	0
25818_3#296	#d7b5d8	0
25818_3#297	#d7b5d8	0
25818_3#298	#ce1256	1
25818_3#299	#d7b5d8	0
25818_3#300	#d7b5d8	0
25818_3#301	#d7b5d8	0
25818_3#302	#ce1256	1
25818_3#303	#d7b5d8	0
25818_3#304	#d7b5d8	0
25818_3#305	#d7b5d8	0
25818_3#306	#d7b5d8	0
25818_3#307	#d7b5d8	0
25818_3#308	#d7b5d8	0
25818_3#309	#d7b5d8	0
25818_3#310	#d7b5d8	0
25818_3#311	#d7b5d8	0
25818_3#312	#d7b5d8	0
25818_3#313	#d7b5d8	0
25818_3#314	#d7b5d8	0
25818_3#315	#d7b5d8	0
25818_3#316	#d7b5d8	0
25818_3#317	#d7b5d8	0
25818_3#318	#d7b5d8	0
25818_3#319	#d7b5d8	0
25818_3#320	#d7b5d8	0
25818_3#321	#d7b5d8	0
25818_3#322	#d7b5d8	0
25818_3#323	#d7b5d8	0
25818_3#324	#d7b5d8	0
25818_3#325	#d7b5d8	0
25818_3#326	#d7b5d8	0
25818_3#327	#d7b5d8	0
25818_3#328	#d7b5d8	0
25818_3#329	#d7b5d8	0
25818_3#330	#d7b5d8	0
25818_3#331	#d7b5d8	0
25818_3#332	#d7b5d8	0
25818_3#333	#d7b5d8	0
25818_3#334	#d7b5d8	0
25818_3#335	#d7b5d8	0
25818_3#336	#d7b5d8	0
25818_3#337	#ce1256	1
25818_3#338	#ce1256	1
25818_3#339	#d7b5d8	0
25818_3#340	#d7b5d8	0
25818_3#341	#d7b5d8	0
25818_3#342	#d7b5d8	0
25818_3#343	#ce1256	1
25818_3#344	#d7b5d8	0
25818_3#345	#d7b5d8	0
25818_3#346	#d7b5d8	0
25818_3#347	#d7b5d8	0
25818_3#348	#d7b5d8	0
25818_3#349	#d7b5d8	0
25818_3#350	#d7b5d8	0
25818_3#351	#d7b5d8	0
25818_3#352	#d7b5d8	0
25818_3#353	#d7b5d8	0
25818_3#354	#d7b5d8	0
25818_3#355	#ce1256	1
25818_3#356	#d7b5d8	0
25818_3#357	#d7b5d8	0
25818_3#358	#d7b5d8	0
25818_3#359	#d7b5d8	0
25818_3#360	#d7b5d8	0
25818_3#361	#d7b5d8	0
25818_3#362	#d7b5d8	0
25818_3#363	#d7b5d8	0
25818_3#364	#d7b5d8	0
25818_3#365	#d7b5d8	0
25818_3#366	#d7b5d8	0
25818_3#367	#d7b5d8	0
25818_3#368	#d7b5d8	0
25818_3#369	#d7b5d8	0
25818_3#370	#d7b5d8	0
25818_3#371	#d7b5d8	0
25818_3#372	#ce1256	1
25818_3#373	#d7b5d8	0
25818_3#374	#d7b5d8	0
25818_3#375	#ce1256	1
25818_3#376	#d7b5d8	0
25818_3#377	#d7b5d8	0
25818_3#378	#d7b5d8	0
25818_3#379	#d7b5d8	0
25818_3#380	#ce1256	1
25818_3#381	#d7b5d8	0
25818_3#382	#d7b5d8	0
25818_3#383	#d7b5d8	0
25825_2#100	#d7b5d8	0
25825_2#101	#ce1256	1
25825_2#102	#d7b5d8	0
25825_2#103	#d7b5d8	0
25825_2#104	#d7b5d8	0
25825_2#105	#d7b5d8	0
25825_2#106	#d7b5d8	0
25825_2#107	#d7b5d8	0
25825_2#108	#d7b5d8	0
25825_2#109	#d7b5d8	0
25825_2#10	#ce1256	1
25825_2#110	#d7b5d8	0
25825_2#111	#d7b5d8	0
25825_2#112	#d7b5d8	0
25825_2#113	#d7b5d8	0
25825_2#114	#d7b5d8	0
25825_2#115	#d7b5d8	0
25825_2#116	#d7b5d8	0
25825_2#117	#d7b5d8	0
25825_2#118	#d7b5d8	0
25825_2#119	#d7b5d8	0
25825_2#11	#ce1256	1
25825_2#120	#d7b5d8	0
25825_2#121	#d7b5d8	0
25825_2#122	#d7b5d8	0
25825_2#123	#d7b5d8	0
25825_2#124	#d7b5d8	0
25825_2#125	#d7b5d8	0
25825_2#126	#d7b5d8	0
25825_2#127	#d7b5d8	0
25825_2#128	#d7b5d8	0
25825_2#129	#d7b5d8	0
25825_2#12	#d7b5d8	0
25825_2#130	#d7b5d8	0
25825_2#131	#d7b5d8	0
25825_2#132	#d7b5d8	0
25825_2#133	#d7b5d8	0
25825_2#134	#d7b5d8	0
25825_2#135	#d7b5d8	0
25825_2#136	#d7b5d8	0
25825_2#137	#d7b5d8	0
25825_2#138	#d7b5d8	0
25825_2#139	#d7b5d8	0
25825_2#13	#d7b5d8	0
25825_2#140	#d7b5d8	0
25825_2#141	#d7b5d8	0
25825_2#142	#d7b5d8	0
25825_2#143	#d7b5d8	0
25825_2#144	#d7b5d8	0
25825_2#145	#d7b5d8	0
25825_2#146	#ce1256	1
25825_2#147	#d7b5d8	0
25825_2#148	#ce1256	1
25825_2#149	#d7b5d8	0
25825_2#14	#d7b5d8	0
25825_2#150	#d7b5d8	0
25825_2#151	#d7b5d8	0
25825_2#152	#d7b5d8	0
25825_2#153	#d7b5d8	0
25825_2#154	#d7b5d8	0
25825_2#155	#ce1256	1
25825_2#156	#ce1256	1
